,m,n,c,r1,M,r2,mdf,fobj,optiter,solveriter,time,scc
164,10,15,1,2685,2,1608686208,False,0.0,4.0,0.0,0.2775885000000926,[]
165,10,15,1,2685,2,1608686208,True,0.0,4.0,0.0,0.28452870000000985,[]
166,10,15,1,2685,1,1608686208,False,1.0,221.0,0.0,10.35076029999982,[4]
167,10,15,1,2685,1,1608686208,True,0.0,4.0,234.0,15.207315800000288,[4]
168,10,15,1,2685,2,2106117099,False,0.0,4.0,0.0,0.25173219999942376,[]
169,10,15,1,2685,2,2106117099,True,0.0,4.0,0.0,0.2606801000001724,[]
170,10,15,1,2685,1,2106117099,False,0.58,34.0,0.0,3.659606399999575,[4]
171,10,15,1,2685,1,2106117099,True,0.0,4.0,276.0,17.69316080000044,[4]
172,10,15,1,2685,2,251122470,False,0.0,4.0,0.0,0.25756449999971665,[]
173,10,15,1,2685,2,251122470,True,0.0,4.0,0.0,0.2640077999994901,[]
174,10,15,1,2685,1,251122470,False,1.0,210.0,0.0,17.433065899999747,[4]
175,10,15,1,2685,1,251122470,True,0.0,4.0,804.0,51.48786910000035,[4]
176,10,15,1,2685,2,1041939683,False,0.0,4.0,0.0,0.28443979999974545,[]
177,10,15,1,2685,2,1041939683,True,0.0,4.0,0.0,0.2605690999998842,[]
178,10,15,1,2685,1,1041939683,False,1.27,244.0,0.0,19.952793599999495,[4]
179,10,15,1,2685,1,1041939683,True,9999.0,,,,[4]
180,10,15,1,2685,2,1069973051,False,0.0,4.0,0.0,0.2746342000000368,[]
181,10,15,1,2685,2,1069973051,True,0.0,4.0,0.0,0.275908999999956,[]
182,10,15,1,2685,1,1069973051,False,0.16,233.0,0.0,16.30602159999944,[4]
183,10,15,1,2685,1,1069973051,True,0.0,4.0,280.0,18.002394600000116,[4]
184,10,15,1,2685,2,602173222,False,0.0,4.0,0.0,0.26323410000077274,[]
185,10,15,1,2685,2,602173222,True,0.0,4.0,0.0,0.2553385999999591,[]
186,10,15,1,2685,1,602173222,False,1.0,125.0,0.0,8.286391200000253,[4]
187,10,15,1,2685,1,602173222,True,0.0,4.0,19.0,1.2285941999998613,[4]
188,10,15,1,2685,2,133188514,False,0.0,4.0,0.0,0.2652502999999342,[]
189,10,15,1,2685,2,133188514,True,0.0,4.0,0.0,0.2616009000003032,[]
190,10,15,1,2685,1,133188514,False,3.32,299.0,0.0,20.15241270000024,[4]
191,10,15,1,2685,1,133188514,True,9999.0,,,,[4]
192,10,15,1,2685,2,1611395864,False,0.0,4.0,0.0,0.26476370000000315,[]
193,10,15,1,2685,2,1611395864,True,0.0,4.0,0.0,0.2554276999999274,[]
