,m,ncoeff,n,sparsity,seed,maxscc,guess,timeMINFAS,MINFAS,timetearpart,mintearpart,timetearfull,mintearfull,timescc,minscc,density
393,30,0.5,45,1,8,0.0,4.0,0.0,0.0,0.005035400390625,0.0,0.009721755981445312,0.0,0.0037631988525390625,0.0,2.2
394,30,0.5,45,1,9,0.0,8.0,0.0,0.0,0.00510406494140625,0.0,0.010267257690429688,0.0,0.0,0.0,2.3333333333333335
395,40,0.1,44,1,0,2.0,10.0,0.013010025024414062,1.0,0.06316566467285156,1.0,0.04862403869628906,1.0,0.008893966674804688,2.0,1.85
396,40,0.1,44,1,1,5.0,14.0,0.0068759918212890625,1.0,0.019084930419921875,1.0,0.03031158447265625,0.0,0.0075244903564453125,0.0,2.1
397,40,0.1,44,1,2,0.0,13.0,0.0009975433349609375,0.0,0.008008956909179688,0.0,0.0060634613037109375,0.0,0.0050220489501953125,0.0,1.9
398,40,0.1,44,1,3,0.0,13.0,0.0009975433349609375,0.0,0.04428672790527344,0.0,0.040149688720703125,0.0,0.0046825408935546875,0.0,1.9
399,40,0.1,44,1,4,4.0,14.0,0.0071315765380859375,1.0,0.027837753295898438,1.0,0.022228240966796875,0.0,0.0072917938232421875,0.0,2.025
400,40,0.1,44,1,5,2.0,13.0,0.0050201416015625,1.0,0.012966156005859375,1.0,0.009899139404296875,0.0,0.0,0.0,1.9
401,40,0.1,44,1,6,4.0,11.0,0.008340835571289062,2.0,0.053436279296875,2.0,0.046886444091796875,1.0,0.01399993896484375,2.0,1.95
402,40,0.1,44,1,7,0.0,21.0,0.00106048583984375,0.0,0.022260665893554688,0.0,0.025545120239257812,0.0,0.0051364898681640625,0.0,2.275
403,40,0.1,44,1,8,0.0,14.0,0.001003265380859375,0.0,0.0100555419921875,0.0,0.011249542236328125,0.0,0.0041065216064453125,0.0,2.0
404,40,0.1,44,1,9,5.0,15.0,0.008007049560546875,1.0,0.06220245361328125,1.0,0.061962127685546875,0.0,0.008306503295898438,0.0,2.25
405,40,0.1,44,2,0,13.0,18.0,0.015092849731445312,3.0,0.1613292694091797,1.0,0.24502944946289062,1.0,0.03141593933105469,3.0,2.8
406,40,0.1,44,2,1,15.0,25.0,0.020998001098632812,4.0,2.5064163208007812,3.0,2.197467803955078,1.0,0.3896770477294922,11.0,3.025
407,40,0.1,44,2,2,18.0,24.0,0.011709213256835938,2.0,0.09221076965332031,1.0,0.12000083923339844,1.0,0.012720108032226562,18.0,2.65
408,40,0.1,44,2,3,10.0,17.0,0.006984710693359375,2.0,0.08801841735839844,1.0,0.05915260314941406,0.0,0.06350898742675781,0.0,2.675
409,40,0.1,44,2,4,16.0,21.0,0.030660629272460938,2.0,0.7057571411132812,2.0,11.743280410766602,2.0,47.34779357910156,12.0,3.05
410,40,0.1,44,2,5,14.0,20.0,0.010105133056640625,1.0,0.3722209930419922,1.0,0.4653205871582031,1.0,0.5496826171875,2.0,2.8
411,40,0.1,44,2,6,22.0,20.0,0.05999565124511719,3.0,0.6286029815673828,2.0,1.9046783447265625,1.0,11.941654205322266,5.0,2.925
412,40,0.1,44,2,7,32.0,24.0,0.5523109436035156,5.0,10.326148986816406,2.0,15.625402450561523,1.0,100.01727485656738,999.0,3.25
413,40,0.1,44,2,8,2.0,18.0,0.009004592895507812,1.0,0.6517543792724609,1.0,0.23024368286132812,0.0,0.01970672607421875,0.0,3.0
414,40,0.1,44,2,9,23.0,26.0,0.029939651489257812,4.0,1.7803268432617188,3.0,0.3213233947753906,1.0,0.12119483947753906,2.0,3.15
415,40,0.2,48,1,0,0.0,13.0,0.0,0.0,0.010797500610351562,0.0,0.0058231353759765625,0.0,0.0,0.0,1.95
416,40,0.2,48,1,1,0.0,13.0,0.0,0.0,0.04277610778808594,0.0,0.05010986328125,0.0,0.005603790283203125,0.0,2.225
417,40,0.2,48,1,2,0.0,18.0,0.0,0.0,0.005199432373046875,0.0,0.0,0.0,0.0,0.0,1.975
418,40,0.2,48,1,3,0.0,11.0,0.0,0.0,0.025209426879882812,0.0,0.009784698486328125,0.0,0.0045948028564453125,0.0,1.95
419,40,0.2,48,1,4,5.0,16.0,0.0035400390625,1.0,0.008270263671875,1.0,0.01406097412109375,0.0,0.014556884765625,0.0,2.075
420,40,0.2,48,1,5,0.0,13.0,0.00099945068359375,0.0,0.013006210327148438,0.0,0.013973236083984375,0.0,0.0029926300048828125,0.0,1.95
421,40,0.2,48,1,6,0.0,14.0,0.0020008087158203125,0.0,0.010961532592773438,0.0,0.01221466064453125,0.0,0.003002166748046875,0.0,2.05
422,40,0.2,48,1,7,3.0,17.0,0.006000518798828125,1.0,0.04598236083984375,1.0,0.014543533325195312,1.0,0.010854721069335938,3.0,2.25
423,40,0.2,48,1,8,3.0,9.0,0.00560760498046875,1.0,0.037899017333984375,1.0,0.024755477905273438,0.0,0.003604888916015625,0.0,2.05
424,40,0.2,48,1,9,0.0,14.0,0.0,0.0,0.04142951965332031,0.0,0.014585494995117188,0.0,0.005126953125,0.0,2.25
425,40,0.2,48,2,0,13.0,22.0,0.018909454345703125,2.0,0.2609214782714844,2.0,0.08150672912597656,0.0,0.024982452392578125,0.0,2.825
426,40,0.2,48,2,1,11.0,23.0,0.012073516845703125,3.0,0.23189926147460938,2.0,1.2933235168457031,1.0,1.076211929321289,3.0,3.025
427,40,0.2,48,2,2,5.0,20.0,0.0026702880859375,1.0,0.10013008117675781,1.0,0.19086265563964844,0.0,0.0245819091796875,0.0,2.575
428,40,0.2,48,2,3,3.0,19.0,0.01097869873046875,2.0,0.08283805847167969,2.0,0.10912322998046875,0.0,0.010053634643554688,0.0,2.675
429,40,0.2,48,2,4,11.0,21.0,0.012983322143554688,3.0,0.12942886352539062,2.0,0.2748603820800781,1.0,0.1645069122314453,4.0,3.05
430,40,0.2,48,2,5,6.0,20.0,0.004917144775390625,2.0,0.030153274536132812,1.0,0.10921287536621094,0.0,0.1217193603515625,0.0,2.8
431,40,0.2,48,2,6,14.0,23.0,0.01238250732421875,3.0,0.12191390991210938,2.0,0.13718795776367188,0.0,0.07287406921386719,0.0,2.9
432,40,0.2,48,2,7,23.0,21.0,0.030107498168945312,3.0,0.5481357574462891,2.0,0.46616172790527344,0.0,0.15428543090820312,0.0,3.275
433,40,0.2,48,2,8,7.0,18.0,0.010959625244140625,4.0,1.463897705078125,2.0,0.6298294067382812,1.0,0.031194686889648438,2.0,3.075
434,40,0.2,48,2,9,12.0,18.0,0.01564788818359375,4.0,1.0480937957763672,4.0,0.5445098876953125,1.0,0.0848846435546875,2.0,3.15
435,40,0.5,60,1,0,0.0,11.0,0.0,0.0,0.0045108795166015625,0.0,0.008275985717773438,0.0,0.0,0.0,2.05
436,40,0.5,60,1,1,0.0,13.0,0.0,0.0,0.022327423095703125,0.0,0.010236740112304688,0.0,0.0033435821533203125,0.0,2.3
437,40,0.5,60,1,2,5.0,13.0,0.0047588348388671875,1.0,0.00811767578125,1.0,0.010194778442382812,0.0,0.0,0.0,2.2
438,40,0.5,60,1,3,0.0,7.0,0.00502777099609375,0.0,0.022823333740234375,0.0,0.005992889404296875,0.0,0.0019702911376953125,0.0,2.1
439,40,0.5,60,1,4,0.0,14.0,0.0019989013671875,0.0,0.010034561157226562,0.0,0.010000228881835938,0.0,0.0020008087158203125,0.0,2.2
440,40,0.5,60,1,5,2.0,10.0,0.0050067901611328125,1.0,0.011631011962890625,1.0,0.0051021575927734375,0.0,0.00504302978515625,0.0,2.15
441,40,0.5,60,1,6,0.0,8.0,0.0,0.0,0.0047512054443359375,0.0,0.024824142456054688,0.0,0.0,0.0,2.25
442,40,0.5,60,1,7,2.0,17.0,0.00522613525390625,1.0,0.031023025512695312,1.0,0.021961212158203125,0.0,0.00751495361328125,0.0,2.425
443,40,0.5,60,1,8,0.0,9.0,0.0,0.0,0.009675979614257812,0.0,0.005054473876953125,0.0,0.00283050537109375,0.0,2.275
444,40,0.5,60,1,9,4.0,15.0,0.005100250244140625,2.0,0.04489898681640625,1.0,0.03502464294433594,0.0,0.0030002593994140625,0.0,2.55
445,40,0.5,60,2,0,9.0,18.0,0.01036834716796875,2.0,0.07375335693359375,2.0,0.04763031005859375,0.0,0.0059986114501953125,0.0,2.85
446,40,0.5,60,2,1,2.0,21.0,0.007944107055664062,1.0,0.044704437255859375,1.0,0.11417579650878906,0.0,0.014986038208007812,0.0,3.2
447,40,0.5,60,2,2,0.0,16.0,0.00099945068359375,0.0,0.030910491943359375,0.0,0.0267486572265625,0.0,0.010023117065429688,0.0,2.7
448,40,0.5,60,2,3,8.0,18.0,0.006999969482421875,1.0,0.05784416198730469,1.0,0.0410003662109375,0.0,0.0069141387939453125,0.0,2.8
449,40,0.5,60,2,4,4.0,21.0,0.0070133209228515625,2.0,0.087127685546875,2.0,0.04497718811035156,0.0,0.0042476654052734375,0.0,3.175
450,40,0.5,60,2,5,2.0,18.0,0.010110855102539062,1.0,0.05164527893066406,1.0,0.12928199768066406,0.0,0.009998321533203125,0.0,2.95
451,40,0.5,60,2,6,7.0,19.0,0.017551422119140625,2.0,0.061244964599609375,2.0,0.08502578735351562,0.0,0.03748512268066406,0.0,3.05
452,40,0.5,60,2,7,22.0,22.0,0.0350189208984375,3.0,0.14874649047851562,1.0,0.22492408752441406,0.0,0.014001846313476562,0.0,3.425
453,40,0.5,60,2,8,0.0,18.0,0.001079559326171875,0.0,0.027894973754882812,0.0,0.09515571594238281,0.0,0.0029850006103515625,0.0,3.2
454,40,0.5,60,2,9,6.0,21.0,0.00997161865234375,2.0,0.09728813171386719,1.0,0.059902191162109375,1.0,0.012907028198242188,3.0,3.275
455,50,0.1,55,1,0,4.0,15.0,0.008020401000976562,1.0,0.013881683349609375,1.0,0.04428291320800781,0.0,0.017118453979492188,0.0,1.86
456,50,0.1,55,1,1,5.0,17.0,0.013978958129882812,2.0,0.07901763916015625,1.0,0.06640434265136719,0.0,0.01617431640625,0.0,2.06
457,50,0.1,55,1,2,0.0,13.0,0.00189971923828125,0.0,0.07157135009765625,0.0,0.06989669799804688,0.0,0.0050067901611328125,0.0,1.86
458,50,0.1,55,1,3,0.0,16.0,0.000980377197265625,0.0,0.04997444152832031,0.0,0.03985404968261719,0.0,0.0029811859130859375,0.0,1.94
459,50,0.1,55,1,4,0.0,18.0,0.0020503997802734375,0.0,0.018909454345703125,0.0,0.022064208984375,0.0,0.003887176513671875,0.0,2.08
460,50,0.1,55,1,5,3.0,17.0,0.00708770751953125,2.0,0.05599212646484375,2.0,0.04943275451660156,1.0,0.01200103759765625,3.0,1.86
